scene_id,training_seed,frozen_task_success,readout_task_success,task_change,frozen_cfts,readout_cfts,cfts_change,frozen_pickup_failure,readout_pickup_failure,frozen_raw_touched_never_held,readout_raw_touched_never_held,frozen_lifted_1cm,readout_lifted_1cm,frozen_union_frames,readout_union_frames,readout_minus_frozen_union_frames,frozen_failure_stage,readout_failure_stage,frozen_directory,readout_directory
83ec989cad54c17102287d7165a315e02a176c100b66b4e57754cf9a5489c8d8,3103,False,False,both_failure,False,False,both_failure,True,False,True,False,False,True,486,10,-476,touched_without_hold,lifted_without_placement,/root/prox_learning_pact_remediation/diagnostics_output/pact_place_v1010_wrist288_s3_v1/evaluation/final_3103_h100/final_3103_h100_PACT_83ec989cad54c171,/root/prox_learning_pact_remediation/diagnostics_output/pact_place_v1010c_readout_s3103/rollouts/readout60000_83ec989cad54c1710228
a9a032c0a3a19405617c309bc473c51858f85a60419e07eccadb8405da4de6bf,3103,False,True,gained,False,True,gained,True,False,True,False,False,True,0,0,0,touched_without_hold,success,/root/prox_learning_pact_remediation/diagnostics_output/pact_place_v1010_wrist288_s3_v1/evaluation/final_3103_h100/final_3103_h100_PACT_a9a032c0a3a19405,/root/prox_learning_pact_remediation/diagnostics_output/pact_place_v1010c_readout_s3103/rollouts/readout60000_a9a032c0a3a19405617c
9730a73935372b623c7df795d8f186a23f361dfe864c010b69651cc3a8305111,3103,False,False,both_failure,False,False,both_failure,False,False,False,False,False,False,3332,3724,392,no_target_interaction,no_target_interaction,/root/prox_learning_pact_remediation/diagnostics_output/pact_place_v1010_wrist288_s3_v1/evaluation/final_3103_h100/final_3103_h100_PACT_9730a73935372b62,/root/prox_learning_pact_remediation/diagnostics_output/pact_place_v1010c_readout_s3103/rollouts/readout60000_9730a73935372b623c7d
3da6f20aa5942a4dd803b50bc324e767c3f99b8d56a69b0b0aba6ab68ddf7655,3103,False,False,both_failure,False,False,both_failure,False,False,True,False,True,False,91,31,-60,lifted_without_placement,held_without_lift,/root/prox_learning_pact_remediation/diagnostics_output/pact_place_v1010_wrist288_s3_v1/evaluation/final_3103_h100/final_3103_h100_PACT_3da6f20aa5942a4d,/root/prox_learning_pact_remediation/diagnostics_output/pact_place_v1010c_readout_s3103/rollouts/readout60000_3da6f20aa5942a4dd803
8b1e44e027ffc1a827985a56ccdc6036e8019d239dd7cef35259b2c3f5450888,3103,True,False,lost,False,False,both_failure,False,False,False,False,True,False,560,3814,3254,success,no_target_interaction,/root/prox_learning_pact_remediation/diagnostics_output/pact_place_v1010_wrist288_s3_v1/evaluation/final_3103_h100/final_3103_h100_PACT_8b1e44e027ffc1a8,/root/prox_learning_pact_remediation/diagnostics_output/pact_place_v1010c_readout_s3103/rollouts/readout60000_8b1e44e027ffc1a82798
86e5f130dcb86ffc23287faea454a5dd887f22b59d422d8bfad045a4c3703677,3103,False,False,both_failure,False,False,both_failure,True,True,True,True,False,False,189,0,-189,touched_without_hold,touched_without_hold,/root/prox_learning_pact_remediation/diagnostics_output/pact_place_v1010_wrist288_s3_v1/evaluation/final_3103_h100/final_3103_h100_PACT_86e5f130dcb86ffc,/root/prox_learning_pact_remediation/diagnostics_output/pact_place_v1010c_readout_s3103/rollouts/readout60000_86e5f130dcb86ffc2328
05c5c7b1a6cce3b93f40f2ed8df70b0fd6465d5492b7df1b8512c605399aadaa,3103,False,True,gained,False,True,gained,False,False,False,False,False,True,2674,0,-2674,held_without_lift,success,/root/prox_learning_pact_remediation/diagnostics_output/pact_place_v1010_wrist288_s3_v1/evaluation/final_3103_h100/final_3103_h100_PACT_05c5c7b1a6cce3b9,/root/prox_learning_pact_remediation/diagnostics_output/pact_place_v1010c_readout_s3103/rollouts/readout60000_05c5c7b1a6cce3b93f40
c763c913616eefc6c1b456116b8d7fcf9d4cd4fcb8f1721c64048c93464a5aa5,3103,True,True,both_success,True,True,both_success,False,False,False,False,True,True,0,0,0,success,success,/root/prox_learning_pact_remediation/diagnostics_output/pact_place_v1010_wrist288_s3_v1/evaluation/final_3103_h100/final_3103_h100_PACT_c763c913616eefc6,/root/prox_learning_pact_remediation/diagnostics_output/pact_place_v1010c_readout_s3103/rollouts/readout60000_c763c913616eefc6c1b4
e241219af8a959f00747c188e18d47e0cb97f440b290bf026eeb33eeefd9b692,3103,False,False,both_failure,False,False,both_failure,False,False,False,False,False,False,5692,2994,-2698,no_target_interaction,no_target_interaction,/root/prox_learning_pact_remediation/diagnostics_output/pact_place_v1010_wrist288_s3_v1/evaluation/final_3103_h100/final_3103_h100_PACT_e241219af8a959f0,/root/prox_learning_pact_remediation/diagnostics_output/pact_place_v1010c_readout_s3103/rollouts/readout60000_e241219af8a959f00747
b5f05ab78893d2a94f4c9560894b09bf129a01160a5becdb07fb18d4364b2173,3103,True,False,lost,True,False,lost,False,False,False,False,True,True,0,667,667,success,lifted_without_placement,/root/prox_learning_pact_remediation/diagnostics_output/pact_place_v1010_wrist288_s3_v1/evaluation/final_3103_h100/final_3103_h100_PACT_b5f05ab78893d2a9,/root/prox_learning_pact_remediation/diagnostics_output/pact_place_v1010c_readout_s3103/rollouts/readout60000_b5f05ab78893d2a94f4c
